number,family,P_rot_h,shape,quality_U,status
10164,main belt,3.3126,2P,1,CANDIDATE
4203,main belt,3.3831,1P,1,CANDIDATE
16785,main belt,139.885,1P,1,CANDIDATE
5113,main belt,2.3786,1P,1,CANDIDATE
5600,main belt,3.5056,1P,1,CANDIDATE
5480,main belt,23.11,2P,2,CONFIRMED
46992,main belt,53.8038,2P,1,CANDIDATE
2538,main belt,53.422,2P,2,CONFIRMED
5768,main belt,8.14,2P,2,CONFIRMED
13081,main belt,2.719,1P,1,CANDIDATE
5162,main belt,12.756,2P,2,CONFIRMED
5504,main belt,13.952,1P,2,CONFIRMED
10017,main belt,12.05,1P,2,CONFIRMED
1948,main belt,10.7722,2P,1,CANDIDATE
3650,main belt,12.3672,2P,1,CANDIDATE
58143,main belt,39.16,1P,1,CANDIDATE
10226,main belt,5.06,1P,2,CONFIRMED
5914,main belt,99.0,1P,1,CANDIDATE
5278,main belt,4.996,2P,2,CONFIRMED
3993,main belt,34.468,2P,2,CONFIRMED
1519,main belt,27.35,1P,2,CONFIRMED
1485,main belt,17.8756,1P,1,CANDIDATE
2124,main belt,3.1227,2P,1,CANDIDATE
2465,main belt,16.4918,1P,1,CANDIDATE
2805,main belt,4.3677,1P,1,CANDIDATE
2878,main belt,10.2427,1P,1,CANDIDATE
3246,main belt,3.592,1P,2,CONFIRMED
3594,main belt,2.304,1P,2,CONFIRMED
4001,main belt,5.009,2P,1,CANDIDATE
5051,main belt,7.2598,1P,2,CONFIRMED
5074,main belt,6.331,1P,2,CONFIRMED
12209,main belt,18.2064,2P,1,CANDIDATE
15991,main belt,61.02,2P,2,CONFIRMED
19144,main belt,5.2896,1P,2,CONFIRMED
24417,main belt,3.783,1P,2,CONFIRMED
38042,main belt,95.4625,1P,1,CANDIDATE
50545,main belt,3.182,2P,2,CONFIRMED
4597,main belt,4.44,1P,2,CONFIRMED
4671,main belt,3.833,2P,1,CANDIDATE
5814,main belt,9.4098,2P,1,CANDIDATE
5185,main belt,102.3,1P,2,CONFIRMED
2886,main belt,107.228,2P,1,CANDIDATE
3168,main belt,3.237,1P,2,CONFIRMED
3278,main belt,5.621,1P,2,CONFIRMED
3396,main belt,61.963,1P,2,CONFIRMED
3532,main belt,12.316,1P,2,CONFIRMED
3858,main belt,7.088,2P,2,CONFIRMED
4062,main belt,34.221,1P,2,CONFIRMED
4208,main belt,14.2839,1P,1,CANDIDATE
4698,main belt,158.302,2P,2,CONFIRMED
4725,main belt,137.363,2P,1,CANDIDATE
5203,main belt,6.934,2P,2,CONFIRMED
5297,main belt,53.46,1P,2,CONFIRMED
5793,main belt,3.0396,2P,2,CONFIRMED
5990,main belt,8.298,1P,1,CANDIDATE
6137,main belt,6.9303,2P,1,CANDIDATE
6658,main belt,2.665,1P,2,CONFIRMED
7463,main belt,12.6112,1P,1,CANDIDATE
8265,main belt,89.552,2P,2,CONFIRMED
9214,main belt,2.391,1P,2,CONFIRMED
9594,main belt,2.8866,1P,1,CANDIDATE
18067,main belt,4.773,1P,2,CONFIRMED
22870,main belt,4.7626,1P,1,CANDIDATE
27708,main belt,98.079,2P,1,CANDIDATE
32253,main belt,6.938,2P,2,CONFIRMED
4253,main belt,2.296,1P,2,CONFIRMED
8602,main belt,5.259,1P,2,CONFIRMED
16513,main belt,12.52,1P,2,CONFIRMED
3828,main belt,3.3204,2P,2,CONFIRMED
13163,main belt,7.2636,2P,1,CANDIDATE
1395,main belt,22.2611,1P,1,CANDIDATE
6336,main belt,2.5932,1P,1,CANDIDATE
25316,main belt,3.3269,2P,1,CANDIDATE
3846,main belt,5.1719,1P,1,CANDIDATE
10451,main belt,5.089,1P,2,CONFIRMED
4118,main belt,4.367,1P,2,CONFIRMED
5576,main belt,12.094,1P,2,CONFIRMED
9092,main belt,7.226,1P,2,CONFIRMED
9171,main belt,7.013,1P,2,CONFIRMED
10031,main belt,2.5017,1P,1,CANDIDATE
17569,main belt,89.1748,2P,1,CANDIDATE
8294,main belt,3.2408,2P,1,CANDIDATE
5109,main belt,45.3887,1P,1,CANDIDATE
