Number,Name,date_first,date_last,phase_first,phase_last,PABLon,PABLat,Period_h,PE,Amp,AE,Grp,U,Cls,Sid
4088,Baggesen,2025 05/07,2025 07/24,24.2,6.9,289.0,-8.0,6.454,0.033,,,MB,2,C,
4118,Sveta,2019 11/03,2024 10/14,6.2,4.9,49.0,11.0,4.367,0.017,0.14,,MB,2,FD,
4253,Marker,2019 10/08,2023 09/28,10.9,6.8,31.0,13.0,2.296,0.015,0.15,,MB,2,FD,
4260,Yanai,2021 08/21,2021 10/11,21.4,9.5,39.0,-3.0,29.24,0.75,0.14,,Koronis,2,FD,
4597,Consolmagno,2020 07/14,2021 11/05,6.6,1.1,44.0,-3.0,4.44,0.017,0.18,,MB,2,FD,
4698,Jizera,2023 10/03,2025 05/05,15.5,18.3,194.0,-3.0,158.302,23.0,0.75,,MB,2,C,
4763,Ride,2021 11/07,2021 12/29,22.8,18.6,140.0,5.0,45.7,1.7,0.3,,MB,2,HR,
5051,Ralph,2019 11/03,2025 05/06,5.1,4.1,222.0,-6.0,7.2598,0.041,0.11,,MB,2,FD,
5074,Goetzoertel,2022 10/07,2023 12/06,8.5,17.6,128.0,2.0,6.331,0.035,0.43,,MB,2,HR,
5091,Isakovskij,2023 09/25,2023 10/15,4.5,4.9,11.0,4.0,13.914,0.2,0.46,,Hoffmeister,2,C,
5162,Piemonte,2023 10/16,2025 05/06,20.3,9.2,202.0,10.0,12.756,0.13,0.43,,MB,2,C,
5167,Joeharms,2021 08/27,2025 09/14,20.5,6.6,344.0,-10.0,2.6597,0.0058,,,MB,2,FD,
5185,Alerossi,2021 08/21,2023 03/09,22.8,4.3,35.0,2.0,102.3,8.6,0.41,,MB,2,HR,
5203,Pavarotti,2021 08/27,2021 11/04,28.3,3.0,45.0,4.0,6.934,0.045,0.92,,MB,2,C,
5225,Loral,2021 08/21,2021 11/05,23.5,3.0,42.0,-2.0,71.266,4.8,0.89,,Themis,2,C,
5278,Polly,2021 02/14,2025 06/02,9.8,17.2,283.0,4.0,4.996,0.02,1.0,,MB,2,FD,
5297,Schinkel,2021 09/16,2021 10/31,28.0,18.4,61.0,-8.0,53.46,2.5,0.26,,MB,2,S*,
