num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
4573,Ledger-v16,4.238,2P,CONFIRMED,2,148.11,0.0032,0.0,MEASURED,survived,False,False
4645,Ledger-v16,11.766,2P,CONFIRMED,2,50.42,0.0084,0.02,MEASURED,inconclusive,False,False
46568,Ledger-v16,64.4736,2P,CANDIDATE,1,8.31,0.0499,0.68,CONVENTION,survived,False,False
4973,Ledger-v16,28.5253,1P,CANDIDATE,1,19.75,0.0425,0.52,NONE(1P),,False,False
5015,Ledger-v16,58.708,1P,CONFIRMED,2,7.3,0.1098,2.74,NONE(1P),survived,False,False
5024,Ledger-v16,26.0468,2P,CANDIDATE,1,16.95,0.0242,0.13,MEASURED,,False,False
5106,Ledger-v16,16.7546,2P,CANDIDATE,1,36.01,0.0116,0.04,CONVENTION,survived,False,False
55103,Ledger-v16,4.642,2P,CONFIRMED,3,103.37,0.0053,0.01,MEASURED,survived,False,False
5683,Ledger-v16,20.318,1P,CONFIRMED,2,29.37,0.0278,0.24,NONE(1P),survived,False,False
5722,Ledger-v16,3.74,2P,CONFIRMED,2,163.15,0.0032,0.0,MEASURED,survived,False,False
5844,Ledger-v16,148.102,1P,CONFIRMED,2,4.0,0.2452,15.42,NONE(1P),inconclusive,False,False
5921,Ledger-v16,86.243,1P,CONFIRMED,2,6.39,0.1292,4.73,NONE(1P),survived,False,False
6101,Ledger-v16,49.034,1P,CONFIRMED,2,11.79,0.0599,1.25,NONE(1P),survived,False,False
6162,Ledger-v16,167.682,2P,CONFIRMED,2,3.58,0.1313,4.67,CONVENTION,survived,False,False
6277,Ledger-v16,9.5824,2P,CANDIDATE,1,51.45,0.0084,0.02,MEASURED,survived,False,False
6281,Ledger-v16,4.66,1P,CONFIRMED,3,139.36,0.0063,0.01,NONE(1P),survived,False,False
6678,Ledger-v16,6.715,1P,CONFIRMED,3,96.28,0.0074,0.02,NONE(1P),,False,False
6740,Ledger-v16,189.62,ambiguous,CANDIDATE,2,3.2,0.4637,37.34,NONE(1P),survived,False,False
6862,Ledger-v16,9.7094,1P,CANDIDATE,1,37.89,0.0231,0.1,NONE(1P),survived,False,False
6873,Ledger-v16,5.313,2P,CANDIDATE,1,121.49,0.0042,0.0,CONVENTION,survived,False,False
6914,Ledger-v16,92.2278,2P,CANDIDATE,1,6.74,0.0614,1.2,CONVENTION,survived,False,False
7046,Ledger-v16,5.0076,1P,CANDIDATE,1,89.03,0.0095,0.02,NONE(1P),,False,False
7113,Ledger-v16,16.074,2P,CONFIRMED,3,35.98,0.0116,0.04,CONVENTION,survived,False,False
7215,Ledger-v16,6.088,2P,CONFIRMED,2,78.53,0.0063,0.01,MEASURED,survived,False,False
73689,Ledger-v16,216.406,2P,CONFIRMED,2,2.08,0.3933,18.07,MEASURED,inconclusive,False,False
7472,Ledger-v16,4.372,2P,CONFIRMED,3,138.53,0.0037,0.0,UNSTATED,survived,False,False
7628,Ledger-v16,10.82,2P,CONFIRMED,3,55.92,0.0079,0.02,CONVENTION,survived,False,False
7883,Ledger-v16,190.536,2P,CONFIRMED,2,2.96,0.1224,4.95,CONVENTION,survived,False,False
8286,Ledger-v16,3.87,2P,CONFIRMED,3,115.11,0.0042,0.0,MEASURED,survived,False,False
8508,Ledger-v16,275.67,2P,CONFIRMED,2,2.26,0.2116,12.39,CONVENTION,survived,False,False
8530,Ledger-v16,3.8208,1P,CANDIDATE,1,158.39,0.0058,0.01,NONE(1P),survived,False,False
9146,Ledger-v16,4.4736,1P,CANDIDATE,2,105.62,0.0095,0.02,NONE(1P),,False,False
94030,Ledger-v16,10.758,2P,CANDIDATE,1,46.43,0.01,0.02,CONVENTION,,False,False
9891,Ledger-v16,9.6034,1P,CANDIDATE,1,41.96,0.021,0.09,NONE(1P),survived,False,False
10112,Ledger-v17,5.872,2P,CONFIRMED,2,101.91,0.0047,0.01,MEASURED,survived,False,False
10363,Ledger-v17,51.802,2P,CANDIDATE,1,8.93,0.0473,0.52,CONVENTION,survived,False,False
10505,Ledger-v17,133.3104,2P,CANDIDATE,1,5.0,0.0987,2.79,CONVENTION,survived,True,True
10710,Ledger-v17,4.2803,1P,CANDIDATE,1,116.35,0.0079,0.01,NONE(1P),survived,False,False
10735,Ledger-v17,102.428,2P,CONFIRMED,3,5.91,0.0662,1.44,CONVENTION,survived,True,False
10824,Ledger-v17,224.914,1P,CANDIDATE,2,2.67,0.5356,51.15,NONE(1P),survived,True,True
10932,Ledger-v17,3.9,2P,CONFIRMED,2,160.92,0.0032,0.0,CONVENTION,survived,False,False
11119,Ledger-v17,9.256,2P,CONFIRMED,2,64.92,0.0068,0.01,CONVENTION,survived,False,False
11186,Ledger-v17,3.8478,2P,CANDIDATE,2,156.37,0.0026,0.0,MEASURED,,False,False
12335,Ledger-v17,3.4612,2P,CANDIDATE,1,126.79,0.0037,0.0,MEASURED,,False,False
12745,Ledger-v17,10.9262,1P,CANDIDATE,1,51.91,0.0173,0.08,NONE(1P),survived,False,False
13632,Ledger-v17,3.3666,2P,CANDIDATE,1,179.9,0.0026,0.0,MEASURED,,False,False
13786,Ledger-v17,3.846,2P,CONFIRMED,2,96.9,0.0053,0.0,MEASURED,survived,False,False
13808,Ledger-v17,7.57,2P,CONFIRMED,1,36.11,0.0131,0.02,MEASURED,inconclusive,False,False
14338,Ledger-v17,9.1962,1P,CANDIDATE,1,64.54,0.0121,0.05,NONE(1P),,False,False
14912,Ledger-v17,67.3758,1P,CANDIDATE,1,6.72,0.1113,3.19,NONE(1P),survived,False,False
14945,Ledger-v17,11.495,1P,CONFIRMED,3,46.94,0.0221,0.11,NONE(1P),survived,False,False
15446,Ledger-v17,3.4814,1P,CANDIDATE,1,158.22,0.0063,0.01,NONE(1P),survived,False,False
15706,Ledger-v17,52.2997,1P,CANDIDATE,1,11.34,0.0719,1.6,NONE(1P),inconclusive,False,False
15877,Ledger-v17,2.763,1P,CONFIRMED,2,211.61,0.0042,0.0,NONE(1P),survived,False,False
16019,Ledger-v17,6.489,1P,CONFIRMED,1,52.86,0.0179,0.05,NONE(1P),survived,False,False
16147,Ledger-v17,26.7898,1P,CANDIDATE,1,22.41,0.0378,0.43,NONE(1P),survived,True,True
17141,Ledger-v17,3.674,2P,CANDIDATE,1,184.28,0.0026,0.0,CONVENTION,survived,False,False
17219,Ledger-v17,21.578,2P,CONFIRMED,3,26.96,0.0147,0.07,CONVENTION,survived,False,False
17410,Ledger-v17,3.498,2P,CONFIRMED,2,168.54,0.0026,0.0,CONVENTION,survived,False,False
17818,Ledger-v17,73.65,2P,CONFIRMED,3,8.0,0.0525,0.82,CONVENTION,survived,True,False
17857,Ledger-v17,7.1693,1P,CANDIDATE,1,47.39,0.0215,0.07,NONE(1P),survived,False,False
17872,Ledger-v17,13.527,1P,CONFIRMED,2,44.22,0.0189,0.11,NONE(1P),survived,False,False
18549,Ledger-v17,95.1022,2P,CANDIDATE,1,6.83,0.0583,1.18,CONVENTION,survived,False,False
18615,Ledger-v17,3.242,2P,CANDIDATE,1,136.7,0.0037,0.0,MEASURED,,False,False
18654,Ledger-v17,3.9976,2P,CANDIDATE,1,116.82,0.0063,0.01,UNSTATED,survived,False,False
18840,Ledger-v17,3.6004,2P,CANDIDATE,1,157.16,0.0042,0.0,MEASURED,survived,False,False
18903,Ledger-v17,59.064,2P,CONFIRMED,3,10.35,0.0399,0.5,CONVENTION,survived,False,False
19011,Ledger-v17,83.8522,2P,CANDIDATE,1,3.43,0.1297,2.31,CONVENTION,survived,True,True
19197,Ledger-v17,3.5189,1P,CANDIDATE,1,180.61,0.0053,0.01,NONE(1P),survived,False,False
19794,Ledger-v17,5.1979,1P,CANDIDATE,2,116.74,0.0074,0.02,NONE(1P),,False,False
19932,Ledger-v17,6.3851,1P,CANDIDATE,1,93.72,0.0095,0.03,NONE(1P),survived,False,False
20170,Ledger-v17,31.2646,2P,CANDIDATE,1,16.95,0.0247,0.16,MEASURED,survived,False,False
20314,Ledger-v17,11.5238,2P,CANDIDATE,1,51.39,0.0079,0.02,CONVENTION,survived,False,False
20750,Ledger-v17,2.66,1P,CONFIRMED,2,345.21,0.0032,0.0,NONE(1P),survived,False,False
21934,Ledger-v17,6.0628,1P,CANDIDATE,2,66.61,0.0121,0.03,NONE(1P),survived,False,False
2211,Ledger-v17,227.792,2P,CONFIRMED,2,3.56,0.1098,5.31,MEASURED,survived,True,False
22635,Ledger-v17,84.3438,2P,CANDIDATE,1,4.65,0.0856,1.53,CONVENTION,survived,False,False
24730,Ledger-v17,60.491,1P,CONFIRMED,2,9.7,0.0835,2.14,NONE(1P),survived,False,False
24903,Ledger-v17,83.362,2P,CONFIRMED,2,7.87,0.0583,1.03,CONVENTION,survived,False,False
25977,Ledger-v17,7.3106,1P,CANDIDATE,1,74.66,0.0116,0.04,NONE(1P),survived,False,False
26161,Ledger-v17,4.0354,2P,CANDIDATE,1,114.36,0.0047,0.0,MEASURED,,False,False
27128,Ledger-v17,13.0791,1P,CANDIDATE,1,41.02,0.0215,0.12,NONE(1P),survived,False,False
2761,Ledger-v17,11.646,1P,CONFIRMED,3,55.16,0.0147,0.07,NONE(1P),survived,True,False
2765,Ledger-v17,12.332,1P,CONFIRMED,2,48.72,0.0184,0.1,NONE(1P),survived,False,False
28024,Ledger-v17,61.2774,1P,CANDIDATE,1,8.97,0.1108,2.88,NONE(1P),survived,False,False
28230,Ledger-v17,96.06,2P,CONFIRMED,2,2.7,0.1691,3.45,MEASURED,survived,False,False
28263,Ledger-v17,85.6992,2P,CANDIDATE,1,7.85,0.053,0.97,CONVENTION,survived,False,False
28304,Ledger-v17,11.1906,1P,CANDIDATE,1,43.59,0.0184,0.09,NONE(1P),,False,False
28748,Ledger-v17,3.116,1P,CONFIRMED,2,147.89,0.0058,0.01,NONE(1P),,False,False
28844,Ledger-v17,3.208,2P,CONFIRMED,2,189.8,0.0026,0.0,MEASURED,survived,False,False
2885,Ledger-v17,76.324,2P,CONFIRMED,2,7.91,0.0572,0.93,CONVENTION,survived,False,False
29622,Ledger-v17,130.644,2P,CANDIDATE,2,4.8,0.0887,2.46,CONVENTION,survived,True,True
3081,Ledger-v17,8.0068,2P,CANDIDATE,1,76.17,0.0063,0.01,CONVENTION,survived,False,False
31382,Ledger-v17,23.883,1P,CONFIRMED,3,26.42,0.0331,0.34,NONE(1P),inconclusive,False,False
31446,Ledger-v17,5.6211,1P,CANDIDATE,1,54.11,0.0179,0.04,NONE(1P),survived,False,False
32138,Ledger-v17,99.496,2P,CONFIRMED,2,5.93,0.073,1.54,CONVENTION,survived,False,False
3239,Ledger-v17,6.4736,2P,CANDIDATE,1,92.84,0.0047,0.01,CONVENTION,survived,False,False
3294,Ledger-v17,4.3009,1P,CANDIDATE,1,66.73,0.0179,0.03,NONE(1P),survived,False,False
34060,Ledger-v17,29.746,2P,CANDIDATE,1,17.5,0.0242,0.15,CONVENTION,survived,False,False
34812,Ledger-v17,3.0972,2P,CANDIDATE,1,118.71,0.0042,0.0,MEASURED,survived,False,False
35566,Ledger-v17,94.7676,2P,CANDIDATE,1,6.39,0.0693,1.39,CONVENTION,survived,False,False
35709,Ledger-v17,11.4086,1P,CANDIDATE,1,37.6,0.0257,0.12,NONE(1P),survived,False,False
3636,Ledger-v17,2.571,1P,CANDIDATE,2,251.48,0.0037,0.0,NONE(1P),survived,True,True
3716,Ledger-v17,10.472,2P,CONFIRMED,2,57.3,0.0074,0.02,CONVENTION,survived,False,False
37567,Ledger-v17,62.1256,2P,CANDIDATE,1,9.29,0.0436,0.57,CONVENTION,survived,False,False
4020,Ledger-v17,50.1458,1P,CANDIDATE,1,8.12,0.1161,2.47,NONE(1P),survived,False,False
41430,Ledger-v17,11.6574,2P,CANDIDATE,1,48.48,0.0089,0.02,CONVENTION,,False,False
4165,Ledger-v17,13.3076,1P,CANDIDATE,1,36.97,0.0236,0.13,NONE(1P),survived,False,False
4303,Ledger-v17,6.136,2P,CONFIRMED,2,97.95,0.0042,0.01,CONVENTION,survived,False,False
43275,Ledger-v17,64.435,1P,CONFIRMED,3,10.44,0.0861,2.36,NONE(1P),inconclusive,False,False
4367,Ledger-v17,3.226,2P,CONFIRMED,2,184.21,0.0026,0.0,MEASURED,survived,False,False
43926,Ledger-v17,3.234,2P,CONFIRMED,3,170.07,0.0026,0.0,MEASURED,survived,False,False
4539,Ledger-v17,3.64,2P,CONFIRMED,2,170.1,0.0026,0.0,UNSTATED,survived,False,False
4728,Ledger-v17,2.417,1P,CONFIRMED,2,243.22,0.0032,0.0,NONE(1P),survived,False,False
4777,Ledger-v17,9.736,2P,CONFIRMED,2,60.6,0.0074,0.02,CONVENTION,survived,False,False
48423,Ledger-v17,5.4628,2P,CANDIDATE,1,53.85,0.0084,0.01,CONVENTION,survived,False,False
4938,Ledger-v17,4.1428,2P,CANDIDATE,1,151.88,0.0037,0.0,MEASURED,inconclusive,False,False
50380,Ledger-v17,5.684,2P,CONFIRMED,2,114.26,0.0047,0.01,CONVENTION,survived,False,False
5282,Ledger-v17,79.9106,2P,CANDIDATE,1,7.71,0.0572,0.97,CONVENTION,survived,False,False
53365,Ledger-v17,190.071,2P,CANDIDATE,1,3.19,0.1392,5.62,CONVENTION,survived,False,False
5688,Ledger-v17,6.0558,2P,CANDIDATE,1,21.99,0.02,0.03,MEASURED,,False,False
5829,Ledger-v17,50.929,1P,CONFIRMED,2,11.83,0.0756,1.64,NONE(1P),inconclusive,False,False
5910,Ledger-v17,202.124,2P,CANDIDATE,1,3.02,0.1434,6.15,MEASURED,survived,False,False
5950,Ledger-v17,9.2234,2P,CANDIDATE,1,68.2,0.0074,0.01,CONVENTION,,False,False
5954,Ledger-v17,3.1692,2P,CANDIDATE,1,146.56,0.0037,0.0,MEASURED,survived,False,False
6005,Ledger-v17,4.152,2P,CONFIRMED,2,142.77,0.0037,0.0,MEASURED,survived,False,False
6078,Ledger-v17,3.0852,2P,CANDIDATE,1,128.51,0.0047,0.0,MEASURED,survived,False,False
6113,Ledger-v17,18.85,1P,CONFIRMED,3,33.64,0.0263,0.21,NONE(1P),survived,False,False
6128,Ledger-v17,8.3441,1P,CANDIDATE,1,76.54,0.011,0.04,NONE(1P),survived,False,False
6468,Ledger-v17,110.4886,2P,CANDIDATE,1,5.46,0.0683,1.6,CONVENTION,survived,True,True
65668,Ledger-v17,74.549,1P,CANDIDATE,1,6.38,0.156,4.94,NONE(1P),survived,True,True
6640,Ledger-v17,2.772,1P,CONFIRMED,2,217.35,0.0042,0.0,NONE(1P),,False,False
6769,Ledger-v17,10.972,2P,CANDIDATE,0,,,,CONVENTION,,False,False
6967,Ledger-v17,5.3236,2P,CANDIDATE,1,25.23,0.0189,0.02,MEASURED,,False,False
7176,Ledger-v17,3.286,2P,CONFIRMED,2,187.29,0.0032,0.0,MEASURED,survived,False,False
7245,Ledger-v17,79.5344,2P,CANDIDATE,1,7.43,0.0562,0.95,CONVENTION,survived,True,True
7252,Ledger-v17,9.065,1P,CONFIRMED,2,49.3,0.0184,0.07,NONE(1P),survived,False,False
7386,Ledger-v17,4.5166,1P,CANDIDATE,1,115.24,0.0084,0.02,NONE(1P),,False,False
7389,Ledger-v17,157.344,2P,CONFIRMED,2,3.87,0.1119,3.74,CONVENTION,survived,True,False
7392,Ledger-v17,3.166,1P,CONFIRMED,2,191.75,0.0047,0.01,NONE(1P),survived,False,False
7498,Ledger-v17,7.2358,2P,CANDIDATE,1,91.76,0.0053,0.01,CONVENTION,survived,False,False
7773,Ledger-v17,3.2268,2P,CANDIDATE,1,148.86,0.0037,0.0,MEASURED,,False,False
7878,Ledger-v17,4.01,2P,CONFIRMED,2,127.77,0.0037,0.0,MEASURED,survived,False,False
7911,Ledger-v17,3.559,1P,CONFIRMED,2,174.46,0.0053,0.01,NONE(1P),survived,False,False
8105,Ledger-v17,16.696,1P,CONFIRMED,2,33.84,0.0226,0.16,NONE(1P),survived,False,False
8168,Ledger-v17,3.516,1P,CONFIRMED,2,169.34,0.0058,0.01,NONE(1P),survived,False,False
8214,Ledger-v17,158.262,2P,CONFIRMED,2,4.11,0.1056,3.55,CONVENTION,survived,True,False
8333,Ledger-v17,92.12,2P,CONFIRMED,2,6.12,0.063,1.23,CONVENTION,survived,False,False
8513,Ledger-v17,107.5444,1P,CANDIDATE,1,5.58,0.1481,6.76,NONE(1P),survived,True,True
8593,Ledger-v17,4.003,1P,CONFIRMED,2,151.86,0.0058,0.01,NONE(1P),survived,False,False
86402,Ledger-v17,6.1022,2P,CANDIDATE,1,78.3,0.0058,0.01,CONVENTION,survived,False,False
8925,Ledger-v17,82.3742,2P,CANDIDATE,1,6.21,0.1281,2.24,CONVENTION,survived,False,False
9020,Ledger-v17,3.9564,2P,CANDIDATE,1,74.56,0.0068,0.01,MEASURED,survived,False,False
9174,Ledger-v17,5.9014,1P,CANDIDATE,1,99.9,0.0089,0.02,NONE(1P),survived,False,False
9255,Ledger-v17,18.1512,2P,CANDIDATE,1,30.22,0.0158,0.06,CONVENTION,survived,False,False
9449,Ledger-v17,193.1862,2P,CANDIDATE,1,3.12,0.1245,5.1,MEASURED,survived,False,False
9494,Ledger-v17,3.162,2P,CANDIDATE,1,81.86,0.0063,0.0,MEASURED,survived,False,False
9609,Ledger-v17,8.079,2P,CANDIDATE,1,74.99,0.0063,0.01,MEASURED,survived,False,False
9955,Ledger-v17,2.312,1P,CONFIRMED,2,202.43,0.0047,0.0,NONE(1P),survived,False,False
10158,Ledger-v18,93.4034,2P,CANDIDATE,1,6.19,0.073,1.45,MEASURED,survived,False,False
10561,Ledger-v18,118.9676,2P,CANDIDATE,1,2.56,0.1906,4.81,CONVENTION,survived,False,False
106622,Ledger-v18,28.1854,2P,CANDIDATE,1,15.75,0.0368,0.22,CONVENTION,survived,False,False
10778,Ledger-v18,7.1908,2P,CANDIDATE,1,35.39,0.0126,0.02,CONVENTION,survived,False,False
10798,Ledger-v18,3.2888,2P,CANDIDATE,1,165.56,0.0032,0.0,MEASURED,,False,False
11182,Ledger-v18,6.264,2P,CANDIDATE,1,86.84,0.0053,0.01,MEASURED,,False,False
11226,Ledger-v18,16.279,1P,CONFIRMED,2,39.95,0.0226,0.16,NONE(1P),survived,False,False
11285,Ledger-v18,3.6496,2P,CANDIDATE,1,98.36,0.0084,0.01,MEASURED,survived,False,False
11327,Ledger-v18,3.33,2P,CONFIRMED,2,173.98,0.0032,0.0,UNSTATED,survived,False,False
11541,Ledger-v18,3.1162,2P,CANDIDATE,1,187.5,0.0026,0.0,CONVENTION,survived,False,False
11872,Ledger-v18,3.408,2P,CONFIRMED,2,176.33,0.0026,0.0,MEASURED,survived,False,False
11930,Ledger-v18,10.9329,1P,CANDIDATE,1,57.33,0.0142,0.07,NONE(1P),survived,False,False
12011,Ledger-v18,4.6647,1P,CANDIDATE,1,45.95,0.0189,0.04,NONE(1P),survived,False,False
12077,Ledger-v18,3.2742,2P,CANDIDATE,1,148.74,0.0037,0.0,MEASURED,,False,False
12262,Ledger-v18,25.1628,1P,CANDIDATE,1,22.47,0.0378,0.4,NONE(1P),survived,False,False
12821,Ledger-v18,3.5119,1P,CANDIDATE,1,131.17,0.0063,0.01,NONE(1P),survived,False,False
133054,Ledger-v18,73.2462,2P,CANDIDATE,1,6.76,0.062,0.96,CONVENTION,survived,False,False
13370,Ledger-v18,2.9896,1P,CANDIDATE,1,193.56,0.0047,0.01,NONE(1P),inconclusive,False,False
13501,Ledger-v18,6.4496,2P,CANDIDATE,2,81.83,0.0058,0.01,MEASURED,survived,False,False
13749,Ledger-v18,4.054,2P,CONFIRMED,2,124.65,0.0042,0.0,CONVENTION,survived,False,False
13927,Ledger-v18,99.3698,2P,CANDIDATE,1,3.68,0.1087,2.29,CONVENTION,inconclusive,False,False
13947,Ledger-v18,4.0028,2P,CANDIDATE,1,147.4,0.0026,0.0,MEASURED,survived,False,False
14179,Ledger-v18,141.8074,2P,CANDIDATE,1,4.24,0.1035,3.11,CONVENTION,survived,False,False
14302,Ledger-v18,5.8624,2P,CANDIDATE,1,84.33,0.0058,0.01,CONVENTION,,False,False
14858,Ledger-v18,5.5232,2P,CANDIDATE,1,121.83,0.0037,0.0,CONVENTION,survived,False,False
15142,Ledger-v18,6.2852,1P,CANDIDATE,1,100.87,0.0089,0.02,NONE(1P),,False,False
16125,Ledger-v18,3.5796,2P,CANDIDATE,1,158.81,0.0032,0.0,MEASURED,,False,False
16791,Ledger-v18,42.486,2P,CONFIRMED,3,13.94,0.0368,0.33,CONVENTION,survived,False,False
16818,Ledger-v18,25.8975,1P,CANDIDATE,1,24.29,0.0347,0.38,NONE(1P),survived,False,False
17051,Ledger-v18,5.5492,2P,CANDIDATE,1,106.15,0.0042,0.0,CONVENTION,survived,False,False
17482,Ledger-v18,4.5117,1P,CANDIDATE,1,59.07,0.0147,0.03,NONE(1P),,False,False
17662,Ledger-v18,16.3918,2P,CANDIDATE,1,34.41,0.0126,0.04,CONVENTION,survived,False,False
17725,Ledger-v18,6.675,2P,CANDIDATE,1,96.48,0.0047,0.01,CONVENTION,,False,False
17766,Ledger-v18,3.3176,2P,CANDIDATE,1,90.63,0.0058,0.0,MEASURED,survived,False,False
17923,Ledger-v18,84.6518,1P,CANDIDATE,1,6.72,0.1428,5.13,NONE(1P),survived,False,False
17986,Ledger-v18,4.6736,2P,CANDIDATE,1,134.09,0.0032,0.0,CONVENTION,survived,False,False
18074,Ledger-v18,14.7886,2P,CANDIDATE,1,42.57,0.01,0.03,MEASURED,,False,False
18083,Ledger-v18,2.3556,1P,CANDIDATE,1,79.46,0.011,0.01,NONE(1P),,False,False
18153,Ledger-v18,38.448,2P,CONFIRMED,2,10.03,0.0452,0.37,CONVENTION,survived,False,False
18887,Ledger-v18,61.625,1P,CONFIRMED,2,9.72,0.0903,2.36,NONE(1P),survived,False,False
18910,Ledger-v18,22.308,2P,CONFIRMED,2,26.69,0.0158,0.07,CONVENTION,survived,False,False
19371,Ledger-v18,16.7588,2P,CANDIDATE,1,3.16,0.1649,0.59,CONVENTION,inconclusive,False,False
19510,Ledger-v18,5.506,2P,CANDIDATE,1,107.01,0.0042,0.0,CONVENTION,survived,False,False
19762,Ledger-v18,3.1507,1P,CANDIDATE,1,200.22,0.0084,0.01,NONE(1P),survived,False,False
19840,Ledger-v18,5.2894,2P,CANDIDATE,1,66.99,0.0089,0.01,CONVENTION,survived,False,False
20396,Ledger-v18,5.148,2P,CANDIDATE,1,114.9,0.0037,0.0,MEASURED,,False,False
20511,Ledger-v18,9.38,2P,CONFIRMED,2,66.64,0.0074,0.01,CONVENTION,survived,False,False
22015,Ledger-v18,3.6044,2P,CANDIDATE,1,113.24,0.0037,0.0,MEASURED,survived,False,False
23044,Ledger-v18,2.6848,1P,CANDIDATE,1,28.74,0.0347,0.04,NONE(1P),,False,False
23985,Ledger-v18,3.026,1P,CONFIRMED,2,155.43,0.0063,0.01,NONE(1P),survived,False,False
24362,Ledger-v18,2.439,1P,CONFIRMED,4,254.81,0.0037,0.0,NONE(1P),survived,False,False
24503,Ledger-v18,4.2882,2P,CANDIDATE,1,138.81,0.0037,0.0,MEASURED,survived,False,False
24757,Ledger-v18,3.146,2P,CANDIDATE,1,169.74,0.0063,0.0,MEASURED,,False,False
25875,Ledger-v18,23.705,1P,CONFIRMED,2,27.1,0.0299,0.3,NONE(1P),survived,False,False
25880,Ledger-v18,433.59,2P,CONFIRMED,2,1.44,0.2809,25.86,MEASURED,inconclusive,True,False
26347,Ledger-v18,5.9142,2P,CANDIDATE,1,66.5,0.0068,0.01,CONVENTION,,False,False
26542,Ledger-v18,13.5153,1P,CANDIDATE,1,39.88,0.0215,0.12,NONE(1P),,False,False
27755,Ledger-v18,11.801,1P,CANDIDATE,1,20.34,0.0436,0.22,NONE(1P),,False,False
28257,Ledger-v18,391.126,2P,CONFIRMED,2,1.71,0.2935,24.38,MEASURED,survived,True,False
28462,Ledger-v18,6.238,2P,CONFIRMED,3,97.29,0.0047,0.01,CONVENTION,survived,False,False
30428,Ledger-v18,22.1222,2P,CANDIDATE,1,26.55,0.0158,0.07,CONVENTION,survived,False,False
3046,Ledger-v18,10.1669,1P,CANDIDATE,1,31.57,0.0331,0.14,NONE(1P),,False,False
30849,Ledger-v18,11.1,2P,CANDIDATE,1,21.71,0.021,0.05,MEASURED,,False,False
31147,Ledger-v18,4.1808,2P,CANDIDATE,1,84.19,0.0053,0.0,CONVENTION,survived,False,False
32158,Ledger-v18,44.088,1P,CONFIRMED,3,13.8,0.0583,1.09,NONE(1P),inconclusive,False,False
32164,Ledger-v18,73.7175,1P,CANDIDATE,1,10.67,0.0856,2.68,NONE(1P),survived,True,True
33082,Ledger-v18,2.9283,1P,CANDIDATE,1,113.15,0.0084,0.01,NONE(1P),survived,False,False
34588,Ledger-v18,9.1362,2P,CANDIDATE,1,40.63,0.0121,0.02,MEASURED,,False,False
36273,Ledger-v18,7.734,1P,CONFIRMED,2,82.57,0.011,0.04,NONE(1P),survived,False,False
37113,Ledger-v18,3.6822,1P,CANDIDATE,1,138.51,0.0063,0.01,NONE(1P),survived,False,False
3741,Ledger-v18,32.36,2P,CONFIRMED,3,19.13,0.021,0.14,CONVENTION,survived,False,False
39899,Ledger-v18,3.958,1P,CANDIDATE,1,152.22,0.0063,0.01,NONE(1P),survived,False,False
4018,Ledger-v18,7.476,2P,CANDIDATE,1,72.68,0.0063,0.01,MEASURED,,False,False
42921,Ledger-v18,8.716,1P,CONFIRMED,2,69.01,0.0121,0.04,NONE(1P),survived,False,False
43469,Ledger-v18,3.4488,2P,CANDIDATE,1,167.02,0.0032,0.0,MEASURED,,False,False
43891,Ledger-v18,3.115,1P,CONFIRMED,2,191.24,0.0047,0.01,NONE(1P),survived,False,False
44118,Ledger-v18,72.2076,2P,CANDIDATE,1,7.48,0.0541,0.83,CONVENTION,survived,False,False
45287,Ledger-v18,4.409,1P,CONFIRMED,2,135.91,0.0063,0.01,NONE(1P),survived,False,False
45456,Ledger-v18,9.2646,2P,CANDIDATE,1,16.28,0.0278,0.05,MEASURED,,False,False
45469,Ledger-v18,42.388,1P,CONFIRMED,2,14.85,0.0536,0.96,NONE(1P),survived,False,False
4682,Ledger-v18,6.456,2P,CONFIRMED,2,91.73,0.0047,0.01,CONVENTION,survived,False,False
5218,Ledger-v18,4.2588,2P,CANDIDATE,1,140.89,0.0032,0.0,MEASURED,survived,False,False
5269,Ledger-v18,161.701,2P,CANDIDATE,1,3.65,0.1171,4.02,MEASURED,survived,False,False
5519,Ledger-v18,26.319,1P,CONFIRMED,2,23.62,0.0368,0.41,NONE(1P),survived,False,False
56439,Ledger-v18,23.6982,1P,CANDIDATE,1,11.33,0.0782,0.79,NONE(1P),survived,False,False
5816,Ledger-v18,6.8984,2P,CANDIDATE,1,80.31,0.0053,0.01,MEASURED,,False,False
5862,Ledger-v18,3.1109,1P,CANDIDATE,1,208.78,0.0047,0.01,NONE(1P),,False,False
59522,Ledger-v18,6.8802,2P,CANDIDATE,1,53.35,0.0089,0.01,MEASURED,survived,False,False
5966,Ledger-v18,6.6365,1P,CANDIDATE,1,88.91,0.0089,0.03,NONE(1P),survived,False,False
6038,Ledger-v18,5.226,1P,CONFIRMED,2,114.51,0.0079,0.02,NONE(1P),inconclusive,False,False
6389,Ledger-v18,4.497,1P,CONFIRMED,2,141.47,0.0063,0.01,NONE(1P),survived,False,False
6462,Ledger-v18,4.4298,2P,CANDIDATE,1,136.57,0.0037,0.0,MEASURED,survived,False,False
6492,Ledger-v18,9.5818,2P,CANDIDATE,1,61.51,0.0063,0.01,MEASURED,,False,False
6544,Ledger-v18,20.003,2P,CANDIDATE,1,29.03,0.0142,0.06,CONVENTION,survived,False,False
