num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
7231,Veritas,16.996,ambiguous,CANDIDATE,2,26.48,0.0389,0.28,NONE(1P),survived,False,False
6978,Cameron,4.634,2P,CONFIRMED,2,119.73,0.0042,0.0,UNSTATED,survived,False,False
19013,Cameron,4.437,1P,CONFIRMED,1,40.64,0.0215,0.04,NONE(1P),,False,False
12315,Padua,5.562,2P,CONFIRMED,2,107.66,0.0037,0.0,CONVENTION,survived,False,False
8450,Padua,5.306,2P,CONFIRMED,3,114.2,0.0037,0.0,UNSTATED,survived,False,False
22719,Padua,4.777,2P,CONFIRMED,1,111.65,0.0042,0.0,UNSTATED,,False,False
1285,Beltwide,15.24,1P,CONFIRMED,2,36.67,0.0221,0.14,NONE(1P),survived,False,False
1887,Beltwide,70.18,2P,CONFIRMED,3,8.94,0.0467,0.7,UNSTATED,survived,False,False
2122,Beltwide,8.9016,2P,CONFIRMED,2,65.78,0.0074,0.01,UNSTATED,survived,False,False
2451,Beltwide,138.364,2P,CONFIRMED,3,4.38,0.0903,2.65,UNSTATED,survived,False,False
2869,Beltwide,310.468,2P,CONFIRMED,2,1.94,0.2216,14.61,UNSTATED,inconclusive,False,False
2909,Beltwide,312.07,2P,CONFIRMED,2,2.06,0.2143,14.2,UNSTATED,inconclusive,False,False
3469,Beltwide,180.875,2P,CONFIRMED,1,3.24,0.1203,4.62,UNSTATED,survived,False,False
3774,Beltwide,3.5724,2P,CONFIRMED,2,189.8,0.0026,0.0,UNSTATED,survived,False,False
5975,Beltwide,12.262,2P,CONFIRMED,2,51.26,0.0095,0.02,UNSTATED,survived,False,False
5977,Beltwide,42.44,2P,CONFIRMED,1,14.59,0.0299,0.27,UNSTATED,survived,False,False
14720,Beltwide,108.08,2P,CONFIRMED,1,5.26,0.0772,1.77,UNSTATED,survived,False,False
2828,Beltwide2,3.803,2P,CONFIRMED,3,153.23,0.0032,0.0,UNSTATED,,False,False
22790,Beltwide2,19.262,2P,CONFIRMED,2,26.41,0.0158,0.06,UNSTATED,survived,False,False
2350,Beltwide2,6.032,2P,CONFIRMED,2,101.88,0.0047,0.01,MEASURED,survived,False,False
7887,Beltwide2,111.712,2P,CONFIRMED,2,6.02,0.0698,1.66,CONVENTION,survived,False,False
5167,Beltwide2,2.6597,1P,CONFIRMED,4,230.15,0.0037,0.0,NONE(1P),inconclusive,False,False
3477,Beltwide2,8.4,2P,CONFIRMED,2,66.63,0.0068,0.01,MEASURED,inconclusive,False,False
2724,Beltwide2,6.898,1P,CONFIRMED,1,87.11,0.01,0.03,NONE(1P),survived,False,False
5824,Beltwide2,24.1,ambiguous,CANDIDATE,2,24.15,0.0352,0.36,NONE(1P),survived,False,False
2024,Beltwide2,167.52,2P,CONFIRMED,2,3.63,0.125,4.45,UNSTATED,survived,False,False
6808,Beltwide3,7.996,2P,CONFIRMED,1,74.63,0.0058,0.01,UNSTATED,survived,False,False
2866,Beltwide3,130.77,2P,CONFIRMED,2,4.54,0.0893,2.48,UNSTATED,survived,False,False
5463,Beltwide3,60.07,2P,CONFIRMED,2,10.55,0.0457,0.58,UNSTATED,survived,False,False
2711,Beltwide3,32.44,1P,CONFIRMED,3,19.67,0.0457,0.63,NONE(1P),survived,False,False
2810,Beltwide3,3.05,2P,CONFIRMED,2,98.58,0.0053,0.0,MEASURED,,False,False
3949,Beltwide3,3.622,2P,CONFIRMED,2,139.16,0.0037,0.0,UNSTATED,survived,False,False
2736,Beltwide3,9.38,1P,CONFIRMED,4,65.67,0.0126,0.05,NONE(1P),survived,False,False
3371,Beltwide3,64.848,1P,CANDIDATE,1,9.08,0.0903,2.49,NONE(1P),survived,False,False
5777,Beltwide3,5.112,2P,CANDIDATE,1,116.1,0.0037,0.0,MEASURED,,False,False
