num,family,status,shape,P_adopted_h,P_phot_h,fourier_order,T0_jd,amp_folded_mag,rms_resid_mag,n_pts,n_sessions,jd_first,jd_last,span_days,cycles_covered,low_confidence,n_apparitions,amp_per_apparition,amp_last_apparition,source,alcdef_T0_jd,alcdef_amp_folded_mag,dT0_h,damp_mag,discrepant
1053,Beltwide4,CONFIRMED,2P,3.664,1.832,2,2460261.485361943,0.176595311547261,0.2589392546132617,15662,3,2458899.327995646,2460802.0574527406,1902.7294570947997,12463.29338708384,False,3,2458908.942:0.259;2460274.059:0.289;2460788.434:0.261,0.26104245894135053,alcdef+raw,2460261.4091046667,0.17654360224313909,1.830174632370472,5.170930412190522e-05,True
1285,Beltwide,CONFIRMED,1P,15.24,15.24,4,2460775.9288067073,0.1918738379439266,0.5946167666475811,7275,2,2459447.7027215688,2460797.3439656836,1349.6412441148423,2125.4192820706176,False,2,2459462.367:0.107;2460788.109:0.214,0.21361355845858682,alcdef+raw,2460775.942777,0.1760266874017654,-0.33528702333569527,0.01584715054216118,True
1381,Beltwide4,CONFIRMED,2P,5.258,2.629,2,2459509.224855673,0.1639750686499623,0.5868466152694147,12030,5,2459036.2864063517,2459606.9385100966,570.6521037449129,2604.7262247770846,False,2,2459047.994:0.407;2459560.132:0.384,0.38410750731398025,alcdef+raw,2459509.1155333747,0.16381803115239288,2.623735159635544,0.00015703749756942886,True
1395,Beltwide9,CANDIDATE,1P,22.2611,22.2611,2,2460672.03807963,0.11313472314359331,0.1508047788306364,9509,3,2459769.9110877244,2460687.6984473066,917.7873595822603,989.47925439328,False,3,2459783.799:0.073;2460229.189:0.284;2460679.923:0.097,0.09719680175454788,raw,,,,,
1485,Beltwide8,CANDIDATE,1P,17.8756,17.8756,2,2461111.456687525,0.10436578860170465,0.39358154161653763,7797,2,2459311.820826575,2461126.404200953,1814.5833743778057,2436.2819141772775,False,2,2459321.958:0.136;2461118.640:0.070,0.06986059894894196,raw,,,,,
1519,Beltwide7,CONFIRMED,1P,27.35,27.35,4,2460776.232036282,0.27405708630064907,0.22383725951447628,10064,3,2459464.3834983325,2460795.4255283144,1331.042029981967,1168.0076314284172,False,3,2459472.995:nan;2459942.948:0.427;2460785.844:0.146,0.145906572133847,alcdef+raw,2460776.2343157083,0.27032088928662984,-0.05470623448491096,0.003736197014019227,False
1588,Beltwide4,CONFIRMED,2P,4.606,2.303,2,2460803.711785939,0.5175453706545272,0.3247837162613504,6898,2,2459052.0433464157,2460828.9109881585,1776.8676417428069,9258.537429836597,False,2,2459056.144:0.776;2460817.506:0.430,0.43043043510497625,alcdef+raw,2459052.0832646666,0.8211023812859506,0.12251053872672492,-0.3035570106314234,True
1887,Beltwide,CONFIRMED,2P,70.18,35.09,4,2460209.9663928635,0.28845729410395016,0.0844282789356186,10686,3,2458870.452751505,2460233.396988543,1362.9442370380275,466.0966327858743,False,2,2458883.994:0.091;2460221.227:0.273,0.2729038142986587,alcdef+raw,2460209.9620063333,0.28841841381377176,0.10527672618627548,3.888029017840022e-05,False
1948,Beltwide7,CANDIDATE,2P,10.7722,5.3861,3,2459937.0393684544,0.6739422839279275,0.28712263681025235,8990,2,2459474.216593683,2459962.396645446,488.1800517626107,1087.6442363029519,False,2,2459487.019:0.636;2459948.860:0.685,0.6852115214291881,raw,,,,,
2024,Beltwide2,CONFIRMED,2P,167.52,83.76,6,2460211.079616589,0.5461431696097386,0.4575176747407524,17731,2,2460209.484686589,2460259.3969161627,49.912229573819786,7.150749222610284,False,1,2460233.963:0.546,0.5461431696097331,raw,,,,,
2092,Koronis,CONFIRMED,2P,30.49,15.245,6,2460260.797820089,0.43375455503726945,1.003043941693145,12447,2,2460260.1842088387,2460802.0316356607,541.8474268219434,426.51158556007357,False,2,2460273.894:0.381;2460794.098:0.431,0.43081697039659417,alcdef+raw,2460260.2178750415,0.2387242491723816,13.918681137263775,0.19503030586488784,True
2116,Beltwide4,CONFIRMED,2P,3.5381,1.76905,3,2459447.751085328,0.21528905920615216,0.19580417804393987,2795,1,2459447.6986035113,2459473.159123125,25.460519613698125,172.7063878151423,False,1,2459460.732:0.215,0.21528905920615038,alcdef+raw,2459447.751012106,0.21423523634983305,0.0017573274672031403,0.0010538228563191088,False
